epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.663,2.25541,2.40965,1.64399,0.46847,0.3149,0.30027,0.11987,2.15538,1.7233,1.47693,0.000333,0.000333,0.067033
2,350.002,2.10542,1.87608,1.52988,0.4557,0.34351,0.33674,0.1365,2.10185,1.52543,1.40885,0.000662113,0.000662113,0.0340288
3,520.793,2.03188,1.70599,1.46887,0.50845,0.38303,0.3767,0.14847,2.10625,1.47554,1.39815,0.000987004,0.000987004,0.00102034
4,691.258,1.96547,1.5599,1.43586,0.49841,0.38817,0.38093,0.15853,2.0824,1.41289,1.40898,0.000981,0.000981,0.000981
5,861.455,1.90561,1.478,1.38371,0.54603,0.39434,0.3931,0.16191,2.05441,1.37406,1.37337,0.000974667,0.000974667,0.000974667
6,1032.35,1.85708,1.40216,1.36616,0.53333,0.42251,0.40993,0.17183,2.04125,1.31287,1.37981,0.000968333,0.000968333,0.000968333
7,1202.66,1.82177,1.34531,1.33753,0.56383,0.41789,0.42833,0.17708,2.04297,1.2278,1.35696,0.000962,0.000962,0.000962
8,1373.61,1.78996,1.27984,1.32171,0.53665,0.41756,0.41409,0.17381,2.01402,1.23984,1.34668,0.000955667,0.000955667,0.000955667
9,1544.29,1.7726,1.25621,1.31938,0.5787,0.42754,0.42285,0.17539,2.04095,1.23761,1.36541,0.000949333,0.000949333,0.000949333
10,1713.47,1.72916,1.18865,1.29058,0.5576,0.42971,0.42798,0.17682,2.02512,1.21399,1.3535,0.000943,0.000943,0.000943
11,1882.92,1.69315,1.16952,1.26539,0.57249,0.4479,0.43554,0.18145,2.0121,1.20132,1.35745,0.000936667,0.000936667,0.000936667
12,2051.79,1.68055,1.13596,1.26144,0.57603,0.44223,0.44297,0.18787,1.9841,1.20581,1.34055,0.000930333,0.000930333,0.000930333
13,2219.72,1.64067,1.08234,1.24271,0.58633,0.43223,0.44401,0.18447,1.99831,1.18056,1.34729,0.000924,0.000924,0.000924
14,2385.79,1.62276,1.07333,1.23961,0.57067,0.45273,0.44663,0.18706,1.98445,1.16186,1.3394,0.000917667,0.000917667,0.000917667
15,2553.39,1.59455,1.04098,1.21978,0.61357,0.44495,0.45072,0.18779,1.98392,1.13763,1.34767,0.000911333,0.000911333,0.000911333
16,2714.09,1.5689,1.00279,1.205,0.63026,0.44349,0.45439,0.19279,1.97898,1.1544,1.35182,0.000905,0.000905,0.000905
17,2876.7,1.55983,0.99385,1.20251,0.57552,0.46063,0.45454,0.19163,1.9734,1.13799,1.34543,0.000898667,0.000898667,0.000898667
18,3040.04,1.54129,0.96791,1.19116,0.62284,0.45139,0.46048,0.19732,1.96352,1.14016,1.34684,0.000892333,0.000892333,0.000892333
19,3203.66,1.52684,0.95286,1.18477,0.58248,0.47082,0.45925,0.19921,1.9377,1.1334,1.32176,0.000886,0.000886,0.000886
20,3367.17,1.49825,0.92448,1.17003,0.59042,0.46394,0.46453,0.19732,1.94368,1.12883,1.32173,0.000879667,0.000879667,0.000879667
21,3528.72,1.47577,0.92327,1.16158,0.5952,0.46923,0.46945,0.20203,1.93669,1.10053,1.32274,0.000873333,0.000873333,0.000873333
22,3684.87,1.47003,0.90746,1.16003,0.6219,0.46597,0.46944,0.20224,1.92513,1.10306,1.32572,0.000867,0.000867,0.000867
23,3841.58,1.44804,0.88667,1.1463,0.59067,0.4712,0.47003,0.20394,1.9232,1.10512,1.32973,0.000860667,0.000860667,0.000860667
