epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.5921,2.04841,2.26991,1.60123,0.6569,0.44613,0.48911,0.2112,1.96673,1.66875,1.47593,0.000166335,0.000166335,0.0668994
2,122.635,1.8392,1.75185,1.47206,0.79151,0.50126,0.58795,0.28517,1.82506,1.49582,1.39705,0.000325093,0.000325093,0.0337248
3,180.632,1.74751,1.54824,1.40983,0.82968,0.51708,0.61291,0.29258,1.84535,1.39707,1.40582,0.000475934,0.000475934,0.000542335
4,238.599,1.64289,1.39178,1.34723,0.78999,0.56731,0.64989,0.31358,1.8112,1.28068,1.39039,0.000464375,0.000464375,0.000464375
5,300.064,1.57215,1.27077,1.3094,0.82135,0.54887,0.64256,0.31423,1.84101,1.31264,1.38575,0.0004525,0.0004525,0.0004525
6,362.168,1.51691,1.18557,1.27344,0.83912,0.55029,0.64326,0.30805,1.83541,1.29128,1.39308,0.000440625,0.000440625,0.000440625
7,424.115,1.45673,1.11225,1.24176,0.8232,0.57735,0.65445,0.31669,1.84157,1.24042,1.40613,0.00042875,0.00042875,0.00042875
8,485.297,1.41033,1.04603,1.21277,0.84777,0.56634,0.66043,0.31945,1.84912,1.22055,1.43857,0.000416875,0.000416875,0.000416875
9,546.71,1.36603,1.00142,1.19251,0.82618,0.59373,0.66534,0.32221,1.83458,1.20975,1.42144,0.000405,0.000405,0.000405
10,608.067,1.3323,0.95815,1.17175,0.85653,0.56246,0.6459,0.30976,1.85066,1.29731,1.44651,0.000393125,0.000393125,0.000393125
11,669.907,1.29411,0.91072,1.15273,0.82511,0.5802,0.66388,0.32158,1.81619,1.2322,1.43098,0.00038125,0.00038125,0.00038125
12,731.342,1.26697,0.88207,1.1358,0.8373,0.57864,0.65925,0.32117,1.82181,1.21205,1.42287,0.000369375,0.000369375,0.000369375
13,793.946,1.24575,0.85107,1.12567,0.81988,0.60647,0.67527,0.32233,1.83089,1.19371,1.4402,0.0003575,0.0003575,0.0003575
14,856.834,1.20752,0.82669,1.10424,0.80045,0.60235,0.65587,0.30612,1.86406,1.21444,1.45847,0.000345625,0.000345625,0.000345625
15,918.911,1.18094,0.79632,1.09122,0.83661,0.60259,0.66932,0.31809,1.8296,1.17767,1.43171,0.00033375,0.00033375,0.00033375
16,982.535,1.16141,0.78012,1.07994,0.81261,0.6123,0.67628,0.32775,1.8164,1.16255,1.44145,0.000321875,0.000321875,0.000321875
17,1048,1.13752,0.75504,1.06979,0.85891,0.58123,0.66806,0.32476,1.81568,1.22356,1.426,0.00031,0.00031,0.00031
18,1110.48,1.11482,0.73675,1.05902,0.84051,0.59352,0.6604,0.3269,1.81646,1.20305,1.43607,0.000298125,0.000298125,0.000298125
19,1181.27,1.09846,0.72401,1.05101,0.83248,0.59159,0.65624,0.3225,1.81699,1.21166,1.44035,0.00028625,0.00028625,0.00028625
20,1243.72,1.08125,0.70773,1.04115,0.81611,0.61186,0.66603,0.32938,1.81368,1.16182,1.44269,0.000274375,0.000274375,0.000274375
21,1301.03,1.06745,0.69945,1.03541,0.83705,0.60583,0.66325,0.32775,1.81433,1.22909,1.45273,0.0002625,0.0002625,0.0002625
22,1357.71,1.03599,0.67178,1.0212,0.81115,0.61553,0.66345,0.32879,1.81132,1.21211,1.43454,0.000250625,0.000250625,0.000250625
23,1415.04,1.01974,0.65851,1.0161,0.82979,0.59806,0.65727,0.32617,1.82755,1.21914,1.46601,0.00023875,0.00023875,0.00023875
24,1473.24,1.01099,0.6503,1.00888,0.81259,0.61294,0.6674,0.33269,1.80073,1.18782,1.44147,0.000226875,0.000226875,0.000226875
25,1534.52,0.99128,0.63638,1.00215,0.83751,0.60971,0.6677,0.33366,1.7951,1.20226,1.44197,0.000215,0.000215,0.000215
26,1593.39,0.97418,0.62962,0.99314,0.83546,0.60799,0.66587,0.32785,1.81834,1.21666,1.45989,0.000203125,0.000203125,0.000203125
27,1650.12,0.96705,0.6246,0.99275,0.82224,0.60971,0.66246,0.3298,1.80113,1.20426,1.44458,0.00019125,0.00019125,0.00019125
28,1707.73,0.95054,0.60958,0.9851,0.81987,0.61276,0.66295,0.33366,1.80103,1.18946,1.46198,0.000179375,0.000179375,0.000179375
29,1764.03,0.93545,0.59533,0.97776,0.83701,0.61157,0.66817,0.32767,1.8094,1.17907,1.47057,0.0001675,0.0001675,0.0001675
30,1820.38,0.92466,0.59058,0.97195,0.83425,0.62006,0.66492,0.3337,1.79485,1.19737,1.46778,0.000155625,0.000155625,0.000155625
31,1877.09,0.92078,0.58753,0.97023,0.85414,0.59888,0.6622,0.33016,1.80384,1.19757,1.46091,0.00014375,0.00014375,0.00014375
32,1933.63,0.90168,0.57194,0.96219,0.8345,0.59871,0.65988,0.32731,1.81885,1.2302,1.47526,0.000131875,0.000131875,0.000131875
33,1989.91,0.88689,0.56756,0.95761,0.83077,0.61036,0.66297,0.33088,1.81804,1.21189,1.48931,0.00012,0.00012,0.00012
34,2046.13,0.88045,0.56021,0.95388,0.82528,0.611,0.6616,0.33547,1.80723,1.20626,1.47411,0.000108125,0.000108125,0.000108125
35,2102.99,0.86185,0.55255,0.95044,0.84292,0.60089,0.6672,0.33541,1.79535,1.20653,1.46447,9.625e-05,9.625e-05,9.625e-05
36,2159.94,0.82792,0.51783,0.93104,0.8251,0.60453,0.65941,0.32904,1.81022,1.22122,1.48501,8.4375e-05,8.4375e-05,8.4375e-05
37,2215.09,0.81289,0.50713,0.92812,0.86371,0.58641,0.65792,0.33204,1.80925,1.24441,1.48635,7.25e-05,7.25e-05,7.25e-05
38,2270.05,0.80723,0.50372,0.92404,0.84982,0.60067,0.65945,0.32712,1.81652,1.23599,1.49434,6.0625e-05,6.0625e-05,6.0625e-05
39,2324.83,0.79825,0.4997,0.92009,0.84692,0.59482,0.64989,0.32765,1.811,1.25264,1.49226,4.875e-05,4.875e-05,4.875e-05
40,2380.11,0.7887,0.49269,0.91783,0.83888,0.59482,0.65059,0.32861,1.81347,1.25383,1.49507,3.6875e-05,3.6875e-05,3.6875e-05
